ID;AGE;SEX;PROCEDURE-BEGIN-TIMESTAMP;PROCEDURE-END-TIMESTAMP;BIOSIGS-BEGIN-TIMESTAMP;BIOSIGS-END-TIMESTAMP;OPENNESS;CONSCIENTIOUSNESS;EXTRAVERSION;AGREEABLENESS;NEUROTICISM;NEO-FFI;BIOSIGS;PROCEDURE;SPACE;FREUD;PHOTOS
3327;25;M;1554904560.0;1554908743.2291722;1554904588.139;1554908781.388;6;6;8;6;10;Y;Y;Y;Y;Y;Y
3333;23;M;1555585200.0;1555589370.731514;1555585114.925;1555589406.124;1;1;1;1;3;Y;Y;Y;Y;Y;Y
3369;21;M;1557824580.0;1557828787.09245;1557824177.825;1557828819.124;6;7;3;5;7;Y;Y;Y;Y;Y;Y
3377;21;M;1555506600.0;1555510786.089919;1555506569.894;1555510822.243;6;7;7;4;7;Y;Y;Y;Y;Y;Y
3381;22;F;1554210240.0;1554214470.571182;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y
3423;21;M;1557397800.0;1557402008.040247;1557397681.648;1557402045.447;7;8;5;5;4;Y;Y;Y;Y;Y;Y
3442;nan;F;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;Y
3497;23;F;1554463920.0;1554468149.818651;1554463886.285;1554468193.534;nan;nan;nan;nan;nan;nan;Y;Y;Y;Y;Y
3567;21;M;1554723900.0;1554728092.453607;1554723928.837;1554728128.536;4;3;10;10;3;Y;Y;Y;Y;Y;Y
3618;19;M;1557230820.0;1557234993.239527;1557230750.97;1557235025.819;4;1;6;6;5;Y;Y;Y;Y;Y;Y
3640;21;M;1554804780.0;1554808959.764052;1554804693.332;1554808992.331;5;9;4;4;10;Y;Y;Y;Y;Y;Y
3670;22;M;1558083300.0;1558087460.500478;1558083044.202;1558087510.301;7;3;4;2;7;Y;Y;Y;Y;Y;Y
3723;22;M;1555574760.0;1555579041.721864;1555574674.423;1555579119.522;6;3;7;4;3;Y;Y;Y;Y;Y;Y
